k,m,d,N,u,empirical_piT,empirical_piT_se,empirical_pi_s,empirical_pi_s_se,empirical_T_T,empirical_T_s,exact_T,exact_T_s,FST,exact_pi,exact_pi_s,exact_pi_s_var,exact_pi_T_var
100,0.0014211227076380076,100,10000000000.0,1e-06,0.000465,4.820704175740304e-05,0.000235,3.427424506827248e-05,227.605385,128.256225,227.09824044691558,128.0982404595975,0.4359346853260161,0.00045419648089383113,0.00025619648091919497,0.00025628382755974664,0.00045432322953438056
100,0.0029369377184225672,100,10000000000.0,1e-06,0.000505,5.073189208969049e-05,0.000285,3.7743792535991926e-05,256.842535,157.85063,256.9805782875546,157.98057830319496,0.38524312087733414,0.0005139611565751092,0.00031596115660638993,0.000316106424638836,0.0005141458266075506
100,0.006069569584339014,100,10000000000.0,1e-06,0.000595,5.4527331449466704e-05,0.000405,4.4990886577172504e-05,317.29152,219.180575,318.44804997369675,219.44804999542242,0.31088273263551636,0.0006368960999473934,0.00043889609999084485,0.00043918297152990897,0.0006372223734864482
100,0.012543566963660348,100,10000000000.0,1e-06,0.000915,6.760779448406819e-05,0.000615,5.5435628209663136e-05,445.11101,346.77839,444.2472690901451,345.247269124325,0.22284886560716566,0.0008884945381802901,0.0006904945382486499,0.0006911654472884297,0.0008892048492200505
100,0.02592293736574172,100,10000000000.0,1e-06,0.001605,8.951044561949179e-05,0.00122,7.83744728849898e-05,700.171195,601.438355,698.9685795955987,599.9685796549961,0.1416372678695813,0.0013979371591911975,0.0011999371593099922,0.0012017733835491232,0.0013998127854302888
100,0.05357317289531737,100,10000000000.0,1e-06,0.00231,0.00010734672561377918,0.002185,0.00010512434958181667,1203.416765,1102.33401,1202.9211309699078,1103.921131079197,0.0822996598379544,0.0024058422619398154,0.002207842262158394,0.002213513342991029,0.002411552744772371
100,0.11071603551627271,100,10000000000.0,1e-06,0.00457,0.00015147797034552576,0.004215,0.00014538283555839737,2139.31487,2050.985265,2148.4682762344924,2049.4682764373915,0.04607933982186274,0.004296936552468984,0.0040989365528747825,0.004117285111548518,0.0043153245131425655
100,0.22880930618750026,100,10000000000.0,1e-06,0.00743,0.00019384007712544899,0.007,0.00018736328348958873,3706.83988,3594.521925,3692.8209814317115,3593.820981787504,0.026808773060487012,0.007385641962863423,0.007187641963575008,0.007242077654422118,0.0074401170557102545
100,0.4728646429027017,100,10000000000.0,1e-06,0.010135,0.00022640982504078746,0.00991,0.00022373859635744573,5121.802015,5036.541215,5134.420637730146,5035.420638228658,0.019281630097461977,0.010268841275460293,0.010070841276457316,0.010176181244440972,0.010374220645443556
100,0.9772372209558107,100,10000000000.0,1e-06,0.001385,8.315893743308651e-05,0.00106,7.276250408005488e-05,641.223985,542.588665,639.4437660146373,540.4437660681417,0.15482205818271966,0.0012788875320292744,0.0010808875321362834,0.001082404962344306,0.001280444364237262
